file,line,clip,category,count,statement,dataset
quadruped_from_video/3d_recon.py,19,walk_869488000,input override (mask / track file / camera),1,"ground_mask_first_frame_dir = ""in/walk_869488000/000111_color_873179000_1280x720.png""",
quadruped_from_video/3d_recon.py,21,stairs_1_5199540000,input override (mask / track file / camera),1,"ground_mask_first_frame_dir = ""in/stairs_1_5199540000/000133_color_5203962000_1280x720.png""",
quadruped_from_video/3d_recon.py,23,stairs_2_5299211000,input override (mask / track file / camera),1,"ground_mask_first_frame_dir = ""in/stairs_2_5299211000/000053_color_5300972000_1280x720.png""",
quadruped_from_video/3d_recon.py,25,stairs_3_5339749000,input override (mask / track file / camera),1,"ground_mask_first_frame_dir = ""in/stairs_3_5339749000/000085_color_5342575000_1280x720.png""",
quadruped_from_video/3d_recon.py,27,obstacle_3_3015061000,input override (mask / track file / camera),1,"ground_mask_first_frame_dir = ""in/obstacle_3_3015061000/000173_color_3020815000_1280x720.png""",
quadruped_from_video/3d_recon.py,61,walk_869488000,input override (mask / track file / camera),1,"foot_pos_file = ""foot_pos_for_depth_cam.npy""",
quadruped_from_video/3d_recon.py,282,turn_left_1771233000,"keypoint fix (delete, freeze, reorder)",3,"markers_3d[0:4, 0:2, 2] = 0.0",
quadruped_from_video/3d_recon.py,285,slow_turn_1771233000,"keypoint fix (delete, freeze, reorder)",2,"markers_3d[29:33, :, :] = 0.0",
quadruped_from_video/3d_recon.py,286,slow_turn_1771233000,"keypoint fix (delete, freeze, reorder)",4,"markers_3d[40:42, -1, :] = 0.0",
quadruped_from_video/3d_recon.py,288,left_right_turn_2058226999,"keypoint fix (delete, freeze, reorder)",3,"markers_3d[22:28, 0, :] = 0.0",
quadruped_from_video/3d_recon.py,289,left_right_turn_2058226999,"keypoint fix (delete, freeze, reorder)",4,"markers_3d[15:21, -1, :] = 0.0",
quadruped_from_video/3d_recon.py,290,left_right_turn_2058226999,"keypoint fix (delete, freeze, reorder)",4,"markers_3d[33:39, -1, :] = 0.0",
quadruped_from_video/3d_recon.py,292,obstacle_2_3126098000,"keypoint fix (delete, freeze, reorder)",3,"markers_3d[21:23, 5, :] = 0.0",
quadruped_from_video/3d_recon.py,294,stand_up_2431270000,"keypoint fix (delete, freeze, reorder)",4,"markers_3d[10:-10, -2:, 2] = 0.0",
quadruped_from_video/3d_recon.py,296,box_1_399682000,"keypoint fix (delete, freeze, reorder)",3,"markers_3d[20:, -2:, 2] = 0.0",
motion_imitation/retarget_motion/retarget_config_go2.py,92,turn_right_1771233000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(6.0),
motion_imitation/retarget_motion/retarget_config_go2.py,93,turn_right_1771233000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.05, 0.0])",
motion_imitation/retarget_motion/retarget_config_go2.py,94,turn_right_1771233000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.08, -0.07, 0.0]), np.array([-0.08, -0.07, 0.01]), np.array([0.08, 0.07, 0.0]), np.array([-0.08, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,101,walk_869488000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(4.0),
motion_imitation/retarget_motion/retarget_config_go2.py,102,walk_869488000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.01, 0.015])",
