time_s,target_yaw_rate_rad_s,actual_yaw_rate_rad_s
0.0001,-0.49945,0.00674
0.0118,-0.49940,-0.00038
0.0849,-0.49910,-0.00634
0.1200,-0.49896,0.02432
0.1371,-0.49889,-0.03736
0.1770,-0.49770,-0.36330
0.1960,-0.49714,-0.46702
0.2120,-0.49666,-0.49920
0.2270,-0.49622,-0.48643
0.2439,-0.49559,-0.54573
0.2990,-0.49294,-0.29119
0.3290,-0.49120,-0.43773
0.3590,-0.48946,-0.30702
0.3890,-0.48773,-0.36242
0.4200,-0.48499,-0.44987
0.4489,-0.48244,-0.44064
0.4789,-0.47980,-0.42709
0.5089,-0.47715,-0.31421
0.5420,-0.47423,-0.15196
0.5680,-0.47194,-0.34537
0.5980,-0.46859,-0.46559
0.6280,-0.46525,-0.36695
0.6579,-0.46190,-0.40148
0.6879,-0.45783,-0.31937
0.7208,-0.45335,-0.16761
0.7489,-0.44953,-0.19470
0.7800,-0.44531,-0.38362
0.8089,-0.44138,-0.38492
0.8389,-0.43730,-0.26551
0.8699,-0.43201,-0.30828
0.9010,-0.42672,-0.41713
0.9299,-0.42180,-0.44811
0.9590,-0.41683,-0.39972
1.0190,-0.40661,0.11313
1.0790,-0.39557,-0.36334
1.1089,-0.38966,-0.32369
1.1681,-0.37800,-0.17631
1.2291,-0.36499,-0.36555
1.2869,-0.35267,-0.01957
1.3209,-0.34520,-0.07329
1.3490,-0.33902,-0.21102
1.3790,-0.33158,-0.31470
1.4111,-0.32360,-0.32330
1.4389,-0.31669,-0.23337
1.4689,-0.30925,-0.22351
1.4989,-0.30181,-0.20898
1.5289,-0.29437,-0.16470
1.5580,-0.28712,0.01373
1.5899,-0.27907,-0.04533
1.6191,-0.27169,-0.21042
1.6509,-0.26273,-0.15028
1.6790,-0.25483,-0.15589
1.7109,-0.24587,-0.21130
1.7408,-0.23744,-0.13315
1.7689,-0.22954,-0.11186
1.7989,-0.22111,-0.11842
1.8310,-0.21208,-0.11372
1.8581,-0.20448,-0.07733
1.8899,-0.19552,-0.20663
1.9191,-0.18731,-0.01147
1.9480,-0.17919,-0.02069
1.9790,-0.17046,-0.06771
2.0080,-0.16233,-0.12649
2.0419,-0.15277,-0.25947
2.0690,-0.14277,-0.26849
2.1011,-0.13354,-0.24411
2.1600,-0.11663,-0.08273
2.2210,-0.09763,-0.02052
2.2491,-0.08888,-0.06799
2.2791,-0.07954,-0.17902
2.3099,-0.06996,0.05215
2.3390,-0.06087,0.13356
2.3990,-0.04221,-0.08252
2.4290,-0.03287,-0.05126
2.4589,-0.02354,0.05987
2.4870,-0.01453,0.07015
2.5210,-0.00364,0.04843
2.5489,0.00529,-0.14045
2.5799,0.01524,0.25075
2.6731,0.04421,-0.11884
2.7009,0.05286,-0.09112
2.7279,0.06127,0.09141
2.7590,0.07094,0.22454
2.7890,0.08027,0.06103
2.8200,0.08994,0.08320
2.8510,0.09929,0.17629
2.8781,0.10744,0.13928
2.9099,0.11703,-0.01269
2.9399,0.12654,-0.01280
2.9680,0.13546,0.27840
2.9991,0.14531,0.30139
3.0309,0.15414,0.18956
3.0890,0.17084,0.09875
3.1190,0.17973,0.11601
3.1479,0.18831,0.29858
3.1789,0.19752,0.28303
3.2081,0.20618,0.14794
3.2389,0.21531,0.17173
3.2710,0.22377,0.12191
3.3010,0.23167,0.12191
3.3291,0.23908,0.12692
3.3890,0.25487,0.15584
3.4190,0.26277,0.20012
3.4511,0.27123,0.17254
3.4811,0.27913,0.32826
3.5100,0.28675,0.20882
3.5400,0.29464,0.21356
3.5681,0.30205,0.23742
3.5999,0.31044,0.27381
3.6291,0.31751,0.14113
3.6591,0.32478,0.10050
3.6909,0.33250,0.33128
3.7220,0.34003,0.44785
3.7490,0.34658,0.42490
3.7801,0.35336,0.41304
3.8090,0.35967,0.24440
3.8389,0.36596,0.21651
3.8689,0.37225,0.25802
3.8989,0.37855,0.28219
3.9289,0.38410,0.33384
3.9599,0.38986,0.40325
3.9880,0.39506,0.17268
4.0209,0.40116,0.41932
4.0501,0.40657,0.50697
4.0801,0.41213,0.45297
4.1090,0.41748,0.31433
4.1390,0.42304,0.24416
4.1711,0.42786,0.24107
4.2000,0.43221,0.21559
4.2289,0.43655,0.41093
4.2621,0.44154,0.30532
4.2888,0.44556,0.08598
4.3210,0.45038,0.15970
4.3499,0.45472,0.27938
4.3820,0.45869,0.52430
4.4109,0.46225,0.50546
4.4409,0.46595,0.32588
4.4708,0.46901,0.20359
4.4990,0.47188,0.25402
4.5279,0.47483,0.28517
4.5581,0.47792,0.38893
4.5889,0.48033,0.35718
4.6221,0.48292,0.40455
4.6510,0.48519,0.25591
4.6810,0.48753,0.14128
4.7099,0.48939,0.19689
4.7390,0.49126,0.27910
4.7690,0.49318,0.30672
4.8009,0.49443,0.34437
4.8300,0.49557,0.31805
4.8600,0.49674,0.43307
4.8900,0.49792,0.49276
4.9200,0.49852,0.14401
4.9499,0.49912,0.11299
4.9791,0.49971,0.25402
5.0380,0.49982,0.62076
5.0690,0.49988,0.58104
5.1001,0.49936,0.46960
5.1301,0.49885,0.47992
5.1600,0.49834,0.48090
5.1911,0.49731,0.48792
5.2211,0.49632,0.48364
5.2510,0.49532,0.43665
5.2799,0.49377,0.47560
5.3099,0.49215,0.64648
5.3410,0.49048,0.74252
5.3680,0.48867,0.54048
5.3980,0.48666,0.41321
5.4290,0.48458,0.33209
5.4601,0.48193,0.32605
5.4890,0.47946,0.51753
5.5190,0.47690,0.28475
5.5489,0.47365,0.14131
5.5789,0.47041,0.15454
5.6389,0.46392,0.43964
5.6710,0.46044,0.39921
5.7010,0.45648,0.42346
5.7291,0.45276,0.33360
5.7590,0.44838,0.52757
5.7901,0.44384,0.51016
5.8190,0.43961,0.36721
5.8511,0.43491,0.32686
5.8789,0.43084,0.26889
5.9381,0.42104,0.40156
5.9689,0.41528,0.34949
5.9999,0.40947,0.53122
6.0291,0.40401,0.44111
6.0880,0.39298,0.34686
6.1190,0.38717,0.34981
6.1509,0.38121,0.36977
6.2090,0.36942,0.06850
6.2389,0.36288,0.07661
6.2700,0.35612,0.37069
6.3010,0.34935,0.50764
6.3289,0.34328,0.32300
6.3591,0.33616,0.06587
6.4191,0.32204,0.21517
6.4509,0.31454,0.33500
6.4801,0.30767,0.22570
6.5101,0.30004,0.18331
6.5510,0.28963,0.09005
6.5810,0.28201,0.35244
6.6281,0.27003,0.54729
6.6589,0.26221,0.37914
6.6921,0.25377,0.14506
6.7180,0.24641,0.07397
6.7451,0.23875,0.04857
6.7729,0.23060,0.19405
6.8010,0.22237,0.20415
6.8229,0.21630,0.17314
6.8510,0.20854,0.14959
6.9030,0.19265,0.06794
6.9319,0.18380,0.24202
6.9610,0.17586,0.36325
6.9910,0.16770,0.33044
7.0191,0.15902,0.15882
7.0480,0.15009,0.03738
7.1091,0.13124,0.17159
7.1390,0.12198,0.07457
7.1690,0.11325,0.09633
7.1971,0.10507,0.20952
7.2300,0.09548,0.05833
7.2611,0.08561,0.04882
7.2911,0.07608,0.07405
7.3200,0.06701,-0.00852
7.3499,0.05761,-0.05417
7.3791,0.04846,0.02264
7.4091,0.03906,0.20275
7.4399,0.02940,0.00106
7.4701,0.01991,-0.12442
7.4979,0.01118,0.06211
7.5290,0.00144,0.20486
7.5619,-0.00888,0.25914
7.5889,-0.01736,0.13987
7.6189,-0.02708,0.06222
7.6489,-0.03680,0.08864
7.6799,-0.04687,0.08682
7.7091,-0.05552,-0.00455
7.7391,-0.06442,-0.04459
7.7709,-0.07444,0.12857
7.8009,-0.08387,0.10180
7.8301,-0.09305,-0.01389
7.8590,-0.10178,-0.07445
7.8890,-0.11083,0.05236
7.9190,-0.11989,0.00797
7.9789,-0.13799,-0.12701
8.0089,-0.14704,-0.01540
8.0391,-0.15617,-0.04599
8.0699,-0.16514,-0.23102
